x,y,z,q,,act_x,act_y,dist,forward,lateral
7195,801,188,37,,7.25,0.909,0.121198184804889,-0.055,-0.108
7181,806,193,38,,,,0.12397580409096,-0.069,-0.103
7176,813,205,38,,,,0.121210560596014,-0.074,-0.096
7188,809,195,35,,,,0.117660528640662,-0.062,-0.1
7197,811,192,35,,,,0.111413643688733,-0.053,-0.098
7211,805,177,33,,,,0.111072048689128,-0.039,-0.104
7205,808,183,36,,,,0.110571244001322,-0.045,-0.101
7209,809,182,35,,,,0.108078675047393,-0.041,-0.1
7195,802,180,37,,,,0.120307938225206,-0.055,-0.107
7194,812,177,35,,,,0.112004464196745,-0.056,-0.097
7174,813,193,39,,,,0.122441822920112,-0.076,-0.096
7169,807,207,39,,,,0.130249760076555,-0.081,-0.102
7182,803,186,33,,,,0.125936491931449,-0.068,-0.106
7176,804,193,38,,,,0.128456218222397,-0.074,-0.105
7184,797,183,35,,,,0.13,-0.066,-0.112
7198,796,181,34,,,,0.124390514107789,-0.052,-0.113
7195,789,180,36,,,,0.132003787824441,-0.055,-0.12
7208,791,172,34,,,,0.125251746494809,-0.042,-0.118
7204,799,183,36,,,,0.119230868486311,-0.046,-0.11
7186,806,195,38,,,,0.121264174429219,-0.064,-0.103
7185,800,194,37,,,,0.1269094165143,-0.065,-0.109
7173,793,195,38,,,,0.139230025497376,-0.077,-0.116
7186,797,189,35,,,,0.128996123972777,-0.064,-0.112
7194,790,170,34,,,,0.131518059596392,-0.056,-0.119
7201,802,165,34,,,,0.117686022959398,-0.049,-0.107
7197,797,180,38,,,,0.123907223356833,-0.053,-0.112
7209,803,181,34,,,,0.113652980603238,-0.041,-0.106
7214,797,176,35,,,,0.117643529358822,-0.036,-0.112
7220,805,171,33,,,,0.108240473021879,-0.03,-0.104
7222,800,163,34,,,,0.112538882169675,-0.028,-0.109
7206,797,185,39,,,,0.12033287165193,-0.044,-0.112
7208,798,176,34,,,,0.118680242669115,-0.042,-0.111
7216,803,167,33,,,,0.111319360400606,-0.034,-0.106
7213,799,159,34,,,,0.116056020955399,-0.037,-0.11
7200,803,172,37,,,,0.117200682591869,-0.05,-0.106
7200,806,172,35,,,,0.114494541354599,-0.05,-0.103
7202,796,165,35,,,,0.122772146678308,-0.048,-0.113
7194,791,168,37,,,,0.130613934938046,-0.056,-0.118
7187,798,179,37,,,,0.127632284317096,-0.063,-0.111
7183,786,188,38,,,,0.140064270961584,-0.067,-0.123
7177,793,198,38,,,,0.137058381721076,-0.073,-0.116
7175,792,205,38,,,,0.138974817862806,-0.075,-0.117
7179,793,190,35,,,,0.136003676420897,-0.071,-0.116
7193,787,172,35,,,,0.134658828154711,-0.057,-0.122
7187,796,192,38,,,,0.129375422704623,-0.063,-0.113
7181,805,202,38,,,,0.124807852317072,-0.069,-0.104
7185,808,208,37,,,,0.120108284476967,-0.065,-0.101
7192,819,203,35,,,,0.107070070514593,-0.058,-0.09
7200,812,190,34,,,,0.109128364782031,-0.05,-0.097
7200,818,192,35,,,,0.103831594420966,-0.05,-0.091
7187,815,197,38,,,,0.113159179919262,-0.063,-0.094
7188,820,191,35,,,,0.108466584716216,-0.062,-0.089
7185,811,183,36,,,,0.117596768663089,-0.065,-0.098
7171,809,204,40,,,,0.127440182046323,-0.079,-0.1
7173,803,194,36,,,,0.131015266286032,-0.077,-0.106
7170,795,192,37,,,,0.139269522868429,-0.08,-0.114
7182,783,168,34,,,,0.143178210632763,-0.068,-0.126
7187,773,164,36,,,,0.14988328792764,-0.063,-0.136
7185,765,162,36,,,,0.157990506043876,-0.065,-0.144
7191,738,154,36,,,,0.18089223311132,-0.059,-0.171
7181,724,151,38,,,,0.197448727521856,-0.069,-0.185
7178,727,161,38,,,,0.19572429588582,-0.072,-0.182
7191,723,150,34,,,,0.19513328778043,-0.059,-0.186
7198,724,141,34,,,,0.192169196282859,-0.052,-0.185
7199,714,133,35,,,,0.20155892438689,-0.051,-0.195
7194,706,132,37,,,,0.210582525390879,-0.056,-0.203
7199,705,125,35,,,,0.210278386906501,-0.051,-0.204
7195,705,123,36,,,,0.211284168834298,-0.055,-0.204
7178,716,150,40,,,,0.205992718317906,-0.072,-0.193
7195,728,146,34,,,,0.189171879517015,-0.055,-0.181
7193,744,151,36,,,,0.174568038311714,-0.057,-0.165
7200,746,148,35,,,,0.170496334271444,-0.05,-0.163
7203,756,158,36,,,,0.160056240115779,-0.047,-0.153
7199,756,161,36,,,,0.161276160668587,-0.051,-0.153
7200,754,152,35,,,,0.162864974749023,-0.05,-0.155
7203,746,144,35,,,,0.169640796979972,-0.047,-0.163
7198,743,160,38,,,,0.173954016912516,-0.052,-0.166
7197,763,176,36,,,,0.155322245670091,-0.053,-0.146
7187,780,196,38,,,,0.143561833368065,-0.063,-0.129
7182,796,211,38,,,,0.131882523482075,-0.068,-0.113
7185,808,221,37,,,,0.120108284476967,-0.065,-0.101
7189,805,224,37,,,,0.120569482042514,-0.061,-0.104
7196,812,220,35,,,,0.111018016555873,-0.054,-0.097
7202,822,214,35,,,,0.099362970970075,-0.048,-0.087
7201,809,206,36,,,,0.111359777298628,-0.049,-0.1
7201,817,210,36,,,,0.104235310715707,-0.049,-0.092
7201,822,208,36,,,,0.099849887330933,-0.049,-0.087
7204,815,200,35,,,,0.104651803615609,-0.046,-0.094
7204,818,202,36,,,,0.101965680500843,-0.046,-0.091
7209,814,191,34,,,,0.103469802357983,-0.041,-0.095
7200,803,185,36,,,,0.117200682591869,-0.05,-0.106
7185,789,189,39,,,,0.136473440639562,-0.065,-0.12
7193,772,176,35,,,,0.148384635323203,-0.057,-0.137
7194,743,161,36,,,,0.175191323986092,-0.056,-0.166
7199,710,140,35,,,,0.205431253707901,-0.051,-0.199
7214,743,150,33,,,,0.169858764860692,-0.036,-0.166
7215,777,168,35,,,,0.136561341528267,-0.035,-0.132
7205,790,173,36,,,,0.127224211532239,-0.045,-0.119
7197,806,188,37,,,,0.11583609109427,-0.053,-0.103
7198,795,181,36,,,,0.125299640861417,-0.052,-0.114
7190,810,188,36,,,,0.115762688289448,-0.06,-0.099
7196,800,179,35,,,,0.121642920057026,-0.054,-0.109
7191,779,177,37,,,,0.142762039772483,-0.059,-0.13
7193,776,173,35,,,,0.144699689011414,-0.057,-0.133
7200,757,173,37,,,,0.160012499511757,-0.05,-0.152
7201,757,172,36,,,,0.159702849066634,-0.049,-0.152
7202,765,175,36,,,,0.151789327688082,-0.048,-0.144
7205,774,162,34,,,,0.142302494707577,-0.045,-0.135
7208,772,159,35,,,,0.143293405291381,-0.042,-0.137
7219,781,150,32,,,,0.131700417615131,-0.031,-0.128
7213,786,159,36,,,,0.128444540561287,-0.037,-0.123
7213,795,167,35,,,,0.119854077944808,-0.037,-0.114
7226,815,164,32,,,,0.097015462685079,-0.024,-0.094
7220,840,186,35,,,,0.075239617223907,-0.03,-0.069
7209,859,216,38,,,,0.064660652641309,-0.041,-0.05
7208,886,237,36,,,,0.047885279575251,-0.042,-0.023
7205,884,238,36,,,,0.051478150704935,-0.045,-0.025
7210,881,246,36,,,,0.048826222462935,-0.04,-0.028
7213,887,236,34,,,,0.043046486500062,-0.037,-0.022
7213,889,244,36,,,,0.042059481689626,-0.037,-0.02
7215,888,230,34,,,,0.040816663263917,-0.035,-0.021
7210,881,229,36,,,,0.048826222462935,-0.04,-0.028
7208,893,229,35,,,,0.044944410108488,-0.042,-0.016
7211,897,233,35,,,,0.040804411526206,-0.039,-0.012
7224,901,229,33,,,,0.027202941017471,-0.026,-0.008
7210,906,243,37,,,,0.040112342240263,-0.04,-0.003
7203,904,247,37,,,,0.047265209192386,-0.047,-0.005
7202,893,239,36,,,,0.050596442562694,-0.048,-0.016
7201,899,250,36,,,,0.0500099990002,-0.049,-0.01
7190,893,262,39,,,,0.06209669878504,-0.06,-0.016
7189,893,259,36,,,,0.06306346010171,-0.061,-0.016
7197,895,260,36,,,,0.054817880294663,-0.053,-0.014
7203,895,250,35,,,,0.049040799340957,-0.047,-0.014
7209,893,246,35,,,,0.044011362169331,-0.041,-0.016
7209,891,246,36,,,,0.044777226354477,-0.041,-0.018
7311,888,176,43,,,,0.064513564465157,0.061,-0.021
7275,890,201,37,,,,0.031400636936216,0.025,-0.019
