x,y,z,q,,act_x,act_y,dist
6674,4880,202,55,,6.641,4.788,0.097739449558507
6676,4873,204,54,,,,0.091923881554251
6677,4886,195,54,,,,0.104403065089105
6641,4886,237,65,,,,0.098
6645,4886,239,56,,,,0.098081598681914
6638,4892,242,58,,,,0.104043260233424
6642,4895,236,56,,,,0.107004672795163
6636,4897,250,59,,,,0.109114618635635
6638,4897,235,55,,,,0.109041276588272
6646,4897,226,55,,,,0.109114618635635
6645,4902,219,57,,,,0.114070153852793
6654,4884,215,54,,,,0.096876209669867
6649,4889,227,58,,,,0.101316336293808
6652,4889,227,56,,,,0.10159724405711
6653,4889,220,55,,,,0.101710373118969
6654,4892,226,56,,,,0.104809350727881
6664,4900,208,53,,,,0.114337220536447
6656,4893,218,57,,,,0.106066017177982
6663,4913,208,55,,,,0.126921235417876
6670,4888,205,53,,,,0.104120122935002
6669,4896,209,56,,,,0.11157060544785
6664,4897,214,56,,,,0.111400179533069
6663,4887,209,54,,,,0.101414989030221
6629,4843,130,77,,,,0.05629387178015
6652,4846,130,51,,,,0.059033888572582
6651,4858,157,56,,,,0.070710678118654
6652,4864,164,54,,,,0.076791926658992
6657,4858,185,56,,,,0.071805292284064
6664,4867,175,53,,,,0.082280009722897
6670,4869,180,54,,,,0.086034876648949
6670,4871,183,54,,,,0.087920418561333
6665,4874,197,56,,,,0.089286057142198
6672,4878,188,53,,,,0.095189285111298
6674,4794,233,76,,,,0.033541019662497
6668,4815,228,55,,,,0.038183766184074
6665,4829,219,54,,,,0.047507894080878
6669,4852,201,53,,,,0.069856996786292
6670,4841,199,54,,,,0.060415229867973
6674,4855,200,55,,,,0.074686009399352
6673,4865,188,53,,,,0.083384650865732
6662,4883,203,57,,,,0.097293370791642
6661,4889,204,55,,,,0.102961157724649
6664,4887,196,54,,,,0.101636607578175
6674,4889,189,53,,,,0.106254411673116
6675,4890,191,54,,,,0.107517440445724
6663,4893,213,58,,,,0.107280007457121
6673,4887,202,53,,,,0.104043260233423
6663,4880,208,56,,,,0.094593868723084
6655,4877,209,55,,,,0.090094394942193
6654,4881,207,55,,,,0.093904206508548
6655,4878,201,54,,,,0.091082380293886
6656,4881,209,56,,,,0.094201910808645
6656,4887,216,56,,,,0.100129915609671
6652,4892,215,56,,,,0.104580112832221
6649,4886,231,58,,,,0.098325988426255
6662,4884,208,52,,,,0.098270036124955
6664,4872,206,54,,,,0.087091905479212
6666,4868,204,54,,,,0.083815273071201
6655,4877,217,57,,,,0.090094394942193
6655,4880,218,56,,,,0.093059120993055
6664,4884,200,53,,,,0.098716766559688
6653,4879,214,57,,,,0.091787798753428
6647,4880,226,57,,,,0.092195444572929
6650,4892,221,56,,,,0.104388696706109
6645,4886,225,56,,,,0.098081598681914
6657,4886,211,53,,,,0.099297532698451
6655,4891,209,55,,,,0.103947101931704
6660,4876,211,55,,,,0.090027773492406
6659,4862,221,56,,,,0.076157731058639
6662,4860,208,53,,,,0.075
6674,4863,199,53,,,,0.081939001702486
6668,4879,210,57,,,,0.094921019800674
6661,4871,221,56,,,,0.085375640553966
6656,4865,224,56,,,,0.078447434629821
6656,4878,224,56,,,,0.091241437954473
6651,4878,234,57,,,,0.090553851381374
6650,4876,230,55,,,,0.088459030064771
6646,4882,225,56,,,,0.094132884795909
6650,4883,213,54,,,,0.095425363504678
6660,4876,205,53,,,,0.090027773492406
6655,4879,217,57,,,,0.092070625065761
6657,4876,212,54,,,,0.089442719099992
6661,4888,203,54,,,,0.101980390271855
6664,4892,197,54,,,,0.106512910015641
6664,4884,197,54,,,,0.098716766559688
